XXSDLEA,New_RCDT,Source,Comments
~38790,~09010130004,Elem,
~38910,~07016154002,Elem,
~39030,~07016146004,Elem,
~39180,~35050079004,Elem,
~39510,~56099030C04,Elem,
~39660,~56099081002,Elem,
~39780,~06016086002,Elem,
~39930,~30039140004,Elem,
~40260,~21044055002,Elem,
~40350,~19022045002,Elem,
~40500,~19022089004,Elem,
~40530,~35050195004,Elem,
~40620,~35050185004,Elem,
~40680,~13014186002,Elem,
~41010,~53090050002,Elem,
~41040,~53090052002,Elem,
~41520,~07016155002,Elem,
~41550,~19022033002,Elem,
~41600,~17054092004,Elem,
~41700,~05016031002,Elem,
~41790,~06016092502,Elem,
~41820,~06016101002,Elem,
~42210,~05016021004,Elem,
~42300,~50082115002,Elem,
~42510,~13014046002,Elem,
~42570,~07016108002,Elem,
~42600,~05016039002,Elem,
~42720,~19022034002,Elem,
~42840,~05016036002,Elem,
~42900,~34049001002,Elem,
~42960,~50082113002,Elem,
~43020,~19022007002,Elem,
~43050,~41057015003,Elem,
~43110,~34049050004,Elem,
~43170,~13041004004,Elem,
~43380,~07016127002,Elem,
~43860,~34049006002,Elem,
~32220,~17053090017,Second,
~38100,~35050040017,Second,
~32700,~28006500015,Second,
~41370,~13041204017,Second,
~43200,~13041205016,Second,
~34290,~47071212017,Second,
~25650,~35050280017,Second,
~29730,~28006505016,Second,
~23050,~17054404016,Second,
~19080,~34049113017,Second,
~21780,~34049115016,Second,
~22830,~34049128016,Second,
~27570,~34049120013,Second,
~32580,~34049125013,Second,
~33510,~44063157016,Second,
~40800,~34049121017,Second,
~43890,~34049126017,Second,
~27740,~13095099016,Second,
~35190,~13058600016,Second,
~26180,~20096225016,Second,
~22950,~48072310016,Second,
~04770,~13014071016,Second,
~08370,~30039165016,Second,
~34380,~47098301017,Second,
~04230,~54092225017,Second,
~33240,~09010193017,Second,
~37410,~09010305016,Second,
~24090,~05016207017,Second,
~26880,~06016201017,Second,
~28200,~05016203017,Second,
~28530,~05016219017,Second,
~29010,~05016225017,Second,
~29220,~07016229016,Second,
~29280,~06016200013,Second,
~30450,~05016211017,Second,
~32910,~06016209017,Second,
~33270,~07016220017,Second,
~33420,~07016227017,Second,
~33720,~06016234016,Second,
~34020,~06016208017,Second,
~38940,~07016215017,Second,
~38970,~07016205017,Second,
~30330,~35050140017,Second,
~03780,~30091081016,Second,
~40290,~21044133017,Second,
~25770,~53102122017,Second,
~39870,~49081030017,Second,
